M D Y: 11 03 2025
14:31:18:169263 Gateway 0, reading I: USB: Baudrate detected: 115200
14:50:47:526515 Gateway 0, reading I: PPS DETECTED
14:50:48:533464 Gateway 0, reading I: PPS DETECTED
14:50:49:539973 Gateway 0, reading I: PPS DETECTED
14:50:50:547060 Gateway 0, reading I: PPS DETECTED
14:50:51:453310 Gateway 0, reading I: PPS DETECTED
14:50:52:459216 Gateway 0, reading I: PPS DETECTED
14:50:53:464682 Gateway 0, reading I: PPS DETECTED
14:50:54:470564 Gateway 0, reading I: PPS DETECTED
14:50:55:476147 Gateway 0, reading I: PPS DETECTED
14:50:56:481652 Gateway 0, reading I: PPS DETECTED
14:50:57:488052 Gateway 0, reading I: PPS DETECTED
14:50:58:496714 Gateway 0, reading I: PPS DETECTED
14:50:59:504402 Gateway 0, reading I: PPS DETECTED
14:51:00:512018 Gateway 0, reading I: PPS DETECTED
14:51:01:518263 Gateway 0, reading I: PPS DETECTED
14:51:02:524121 Gateway 0, reading I: PPS DETECTED
14:51:03:530357 Gateway 0, reading I: PPS DETECTED
14:51:04:537813 Gateway 0, reading I: PPS DETECTED
14:51:05:544897 Gateway 0, reading I: PPS DETECTED
14:51:06:355884 Gateway 0, sending b'NIBWS0128400000000000000000000000000'
14:51:06:450378 Gateway 0, reading I: PPS DETECTED
14:51:06:452378 Gateway 0, reading I: Write NIB - PPS
14:51:07:457592 Gateway 0, reading I: PPS DETECTED
14:51:08:464998 Gateway 0, reading I: PPS DETECTED
14:51:09:472476 Gateway 0, reading I: PPS DETECTED
14:51:10:479320 Gateway 0, reading I: PPS DETECTED
14:51:11:485634 Gateway 0, reading I: PPS DETECTED
14:51:12:493918 Gateway 0, reading I: PPS DETECTED
14:51:13:500256 Gateway 0, reading I: PPS DETECTED
14:51:14:506164 Gateway 0, reading I: PPS DETECTED
14:51:15:513276 Gateway 0, reading I: PPS DETECTED
14:51:16:518180 Gateway 0, reading I: PPS DETECTED
14:51:17:524317 Gateway 0, reading I: PPS DETECTED
14:51:18:531030 Gateway 0, reading I: PPS DETECTED
14:51:18:624616 Gateway 0, sending b'NIBR\xe1\x15\x12\x976\x11'
14:51:18:632206 Gateway 0, reading I: READ FROM NIB
14:51:19:128728 Gateway 0, sending b'NIBR\xcda\xd3R\x14\x02'
14:51:19:234940 Gateway 0, reading I: READ FROM NIB
14:51:19:335886 Gateway 0, reading I: [E1:15:12:97:36:11 (random)] Sensor NIB read:
14:51:19:336865 Gateway 0, reading 5330313238343030303030303030303030303030303030303030303030303030
14:51:19:632048 Gateway 0, sending b'NIBR\xe1\xd7)\x7f\xa1L'
14:51:20:075821 Gateway 0, reading I: PPS DETECTED
14:51:20:076829 Gateway 0, reading I: READ FROM NIB
14:51:20:177715 Gateway 0, reading I: [CD:61:D3:52:14:02 (random)] Sensor NIB read:
14:51:20:178720 Gateway 0, reading 2d52455455524e444952333346494c392d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
14:51:20:481962 Gateway 0, reading I: PPS DETECTED
14:51:21:285942 Gateway 0, reading I: [E1:D7:29:7F:A1:4C (random)] Sensor NIB read:
14:51:21:286879 Gateway 0, reading 52455455524e444952323646494c392d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
14:51:21:489209 Gateway 0, reading I: PPS DETECTED
14:51:22:496703 Gateway 0, reading I: PPS DETECTED
14:51:22:645617 Gateway 0, sending b'NIBR\xe1\x15\x12\x976\x11'
14:51:22:698092 Gateway 0, reading I: READ FROM NIB
14:51:23:149796 Gateway 0, sending b'NIBR\xcda\xd3R\x14\x02'
14:51:23:200928 Gateway 0, reading I: READ FROM NIB
14:51:23:503567 Gateway 0, reading I: PPS DETECTED
14:51:23:604252 Gateway 0, reading I: [E1:15:12:97:36:11 (random)] Sensor NIB read:
14:51:23:605274 Gateway 0, reading 2d52455455524e444952323446494c392d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
14:51:23:653227 Gateway 0, sending b'NIBR\xe1\xd7)\x7f\xa1L'
14:51:24:117615 Gateway 0, reading I: READ FROM NIB
14:51:24:118650 Gateway 0, reading I: [CD:61:D3:52:14:02 (random)] Sensor NIB read:
14:51:24:119738 Gateway 0, reading 2d52455455524e444952333346494c392d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
14:51:24:522797 Gateway 0, reading I: PPS DETECTED
14:51:24:824803 Gateway 0, reading I: [E1:D7:29:7F:A1:4C (random)] Sensor NIB read:
14:51:24:825813 Gateway 0, reading 52455455524e444952323646494c392d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
14:51:25:531154 Gateway 0, reading I: PPS DETECTED
14:51:26:537357 Gateway 0, reading I: PPS DETECTED
14:51:26:972901 Gateway 0, sending b'NIBWS0128400000000000000000000000000'
14:51:27:543801 Gateway 0, reading I: PPS DETECTED
14:51:27:543801 Gateway 0, reading I: Write NIB - PPS
14:51:28:450781 Gateway 0, reading I: PPS DETECTED
14:51:29:456486 Gateway 0, reading I: PPS DETECTED
14:51:30:462994 Gateway 0, reading I: PPS DETECTED
14:51:31:469401 Gateway 0, reading I: PPS DETECTED
14:51:32:476354 Gateway 0, reading I: PPS DETECTED
14:51:33:483498 Gateway 0, reading I: PPS DETECTED
14:51:34:490515 Gateway 0, reading I: PPS DETECTED
14:51:35:496223 Gateway 0, reading I: PPS DETECTED
14:51:36:502392 Gateway 0, reading I: PPS DETECTED
14:51:37:509172 Gateway 0, reading I: PPS DETECTED
14:51:38:515502 Gateway 0, reading I: PPS DETECTED
14:51:39:523759 Gateway 0, reading I: PPS DETECTED
14:51:40:356182 Gateway 0, sending b'NIBR\xe1\x15\x12\x976\x11'
14:51:40:430107 Gateway 0, reading I: READ FROM NIB
14:51:40:531327 Gateway 0, reading I: PPS DETECTED
14:51:40:859919 Gateway 0, sending b'NIBR\xcda\xd3R\x14\x02'
14:51:40:934769 Gateway 0, reading I: READ FROM NIB
14:51:41:362239 Gateway 0, sending b'NIBR\xe1\xd7)\x7f\xa1L'
14:51:41:437869 Gateway 0, reading I: READ FROM NIB
14:51:41:538951 Gateway 0, reading I: PPS DETECTED
14:51:41:539951 Gateway 0, reading I: [E1:15:12:97:36:11 (random)] Sensor NIB read:
14:51:41:539951 Gateway 0, reading 2d52455455524e444952323446494c31302d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
14:51:41:845728 Gateway 0, reading I: [CD:61:D3:52:14:02 (random)] Sensor NIB read:
14:51:41:846728 Gateway 0, reading 2d52455455524e444952333346494c31302d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
14:51:42:451882 Gateway 0, reading I: PPS DETECTED
14:51:43:457198 Gateway 0, reading I: [E1:D7:29:7F:A1:4C (random)] Sensor NIB read:
14:51:43:458130 Gateway 0, reading 52455455524e444952323646494c31302d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
14:51:43:460128 Gateway 0, reading I: PPS DETECTED
14:51:44:468057 Gateway 0, reading I: PPS DETECTED
14:51:45:474726 Gateway 0, reading I: PPS DETECTED
14:51:46:481279 Gateway 0, reading I: PPS DETECTED
14:51:47:486285 Gateway 0, reading I: PPS DETECTED
14:51:48:492137 Gateway 0, reading I: PPS DETECTED
14:51:49:499012 Gateway 0, reading I: PPS DETECTED
14:51:50:507278 Gateway 0, reading I: PPS DETECTED
14:51:51:513120 Gateway 0, reading I: PPS DETECTED
14:51:52:518317 Gateway 0, reading I: PPS DETECTED
14:51:53:524808 Gateway 0, reading I: PPS DETECTED
14:51:54:531347 Gateway 0, reading I: PPS DETECTED
14:51:55:536055 Gateway 0, reading I: PPS DETECTED
14:51:56:542392 Gateway 0, reading I: PPS DETECTED
14:51:57:450450 Gateway 0, reading I: PPS DETECTED
14:51:58:457297 Gateway 0, reading I: PPS DETECTED
14:51:59:463621 Gateway 0, reading I: PPS DETECTED
14:52:00:471585 Gateway 0, reading I: PPS DETECTED
14:52:01:477258 Gateway 0, reading I: PPS DETECTED
14:52:02:484307 Gateway 0, reading I: PPS DETECTED
14:52:03:491541 Gateway 0, reading I: PPS DETECTED
14:52:04:498029 Gateway 0, reading I: PPS DETECTED
14:52:05:504692 Gateway 0, reading I: PPS DETECTED
14:52:06:511316 Gateway 0, reading I: PPS DETECTED
14:52:07:516550 Gateway 0, reading I: PPS DETECTED
14:52:08:523532 Gateway 0, reading I: PPS DETECTED
14:52:09:530995 Gateway 0, reading I: PPS DETECTED
14:52:10:536351 Gateway 0, reading I: PPS DETECTED
14:52:11:542686 Gateway 0, reading I: PPS DETECTED
14:52:12:450497 Gateway 0, reading I: PPS DETECTED
14:52:13:457288 Gateway 0, reading I: PPS DETECTED
14:52:14:461741 Gateway 0, reading I: PPS DETECTED
14:52:15:475336 Gateway 0, reading I: PPS DETECTED
14:52:16:482644 Gateway 0, reading I: PPS DETECTED
14:52:17:488426 Gateway 0, reading I: PPS DETECTED
14:52:18:495382 Gateway 0, reading I: PPS DETECTED
14:52:19:499549 Gateway 0, reading I: PPS DETECTED
14:52:20:505988 Gateway 0, reading I: PPS DETECTED
14:52:21:512430 Gateway 0, reading I: PPS DETECTED
14:52:22:518975 Gateway 0, reading I: PPS DETECTED
14:52:23:525492 Gateway 0, reading I: PPS DETECTED
14:52:24:531215 Gateway 0, reading I: PPS DETECTED
14:52:25:538022 Gateway 0, reading I: PPS DETECTED
14:52:26:543409 Gateway 0, reading I: PPS DETECTED
14:52:27:450382 Gateway 0, reading I: PPS DETECTED
14:52:28:456705 Gateway 0, reading I: PPS DETECTED
14:52:29:462003 Gateway 0, reading I: PPS DETECTED
14:52:30:472321 Gateway 0, reading I: PPS DETECTED
14:52:31:478284 Gateway 0, reading I: PPS DETECTED
14:52:31:647553 Gateway 0, sending b'NIBWS0129400000000000000000000000000'
14:52:32:485845 Gateway 0, reading I: PPS DETECTED
14:52:32:485845 Gateway 0, reading I: Write NIB - PPS
14:52:33:492383 Gateway 0, reading I: PPS DETECTED
14:52:34:498715 Gateway 0, reading I: PPS DETECTED
14:52:35:503945 Gateway 0, reading I: PPS DETECTED
14:52:36:511090 Gateway 0, reading I: PPS DETECTED
14:52:37:517250 Gateway 0, reading I: PPS DETECTED
14:52:38:524059 Gateway 0, reading I: PPS DETECTED
14:52:39:529703 Gateway 0, reading I: PPS DETECTED
14:52:40:535368 Gateway 0, reading I: PPS DETECTED
14:52:41:539928 Gateway 0, reading I: PPS DETECTED
14:52:42:543906 Gateway 0, reading I: PPS DETECTED
14:52:43:450452 Gateway 0, reading I: PPS DETECTED
14:52:44:457534 Gateway 0, reading I: PPS DETECTED
14:52:45:463005 Gateway 0, reading I: PPS DETECTED
14:52:46:468680 Gateway 0, reading I: PPS DETECTED
14:52:47:473584 Gateway 0, reading I: PPS DETECTED
14:52:48:478766 Gateway 0, reading I: PPS DETECTED
14:52:49:485258 Gateway 0, reading I: PPS DETECTED
14:52:50:492987 Gateway 0, reading I: PPS DETECTED
14:52:51:501495 Gateway 0, reading I: PPS DETECTED
14:52:52:507310 Gateway 0, reading I: PPS DETECTED
14:52:53:514124 Gateway 0, reading I: PPS DETECTED
14:52:54:520009 Gateway 0, reading I: PPS DETECTED
14:52:55:525249 Gateway 0, reading I: PPS DETECTED
14:52:56:530310 Gateway 0, reading I: PPS DETECTED
14:52:57:536400 Gateway 0, reading I: PPS DETECTED
14:52:58:542228 Gateway 0, reading I: PPS DETECTED
14:52:59:450451 Gateway 0, reading I: PPS DETECTED
14:53:00:457153 Gateway 0, reading I: PPS DETECTED
14:53:01:464094 Gateway 0, reading I: PPS DETECTED
14:53:02:468554 Gateway 0, reading I: PPS DETECTED
14:53:03:475787 Gateway 0, reading I: PPS DETECTED
14:53:04:480580 Gateway 0, reading I: PPS DETECTED
14:53:05:486224 Gateway 0, reading I: PPS DETECTED
14:53:06:493007 Gateway 0, reading I: PPS DETECTED
14:53:07:498368 Gateway 0, reading I: PPS DETECTED
14:53:08:504630 Gateway 0, reading I: PPS DETECTED
14:53:09:510747 Gateway 0, reading I: PPS DETECTED
14:53:10:517027 Gateway 0, reading I: PPS DETECTED
14:53:11:523191 Gateway 0, reading I: PPS DETECTED
14:53:12:527449 Gateway 0, reading I: PPS DETECTED
14:53:13:534129 Gateway 0, reading I: PPS DETECTED
14:53:14:541844 Gateway 0, reading I: PPS DETECTED
14:53:15:548468 Gateway 0, reading I: PPS DETECTED
14:53:16:452268 Gateway 0, reading I: PPS DETECTED
14:53:17:457957 Gateway 0, reading I: PPS DETECTED
14:53:18:465448 Gateway 0, reading I: PPS DETECTED
14:53:19:471479 Gateway 0, reading I: PPS DETECTED
14:53:20:477181 Gateway 0, reading I: PPS DETECTED
14:53:21:483442 Gateway 0, reading I: PPS DETECTED
14:53:22:489838 Gateway 0, reading I: PPS DETECTED
14:53:23:495573 Gateway 0, reading I: PPS DETECTED
14:53:24:501913 Gateway 0, reading I: PPS DETECTED
14:53:25:507475 Gateway 0, reading I: PPS DETECTED
14:53:26:513828 Gateway 0, reading I: PPS DETECTED
14:53:27:520857 Gateway 0, reading I: PPS DETECTED
14:53:28:528556 Gateway 0, reading I: PPS DETECTED
14:53:29:533632 Gateway 0, reading I: PPS DETECTED
14:53:30:540163 Gateway 0, reading I: PPS DETECTED
14:53:30:981499 Gateway 0, sending b'NIBWS0129400000000000000000000000000'
14:53:31:547582 Gateway 0, reading I: PPS DETECTED
14:53:31:547582 Gateway 0, reading I: Write NIB - PPS
14:53:32:453160 Gateway 0, reading I: PPS DETECTED
14:53:33:458732 Gateway 0, reading I: PPS DETECTED
14:53:34:466420 Gateway 0, reading I: PPS DETECTED
14:53:35:470814 Gateway 0, reading I: PPS DETECTED
14:53:36:476129 Gateway 0, reading I: PPS DETECTED
14:53:37:481693 Gateway 0, reading I: PPS DETECTED
14:53:38:488484 Gateway 0, reading I: PPS DETECTED
14:53:39:495932 Gateway 0, reading I: PPS DETECTED
14:53:40:503669 Gateway 0, reading I: PPS DETECTED
14:53:41:509613 Gateway 0, reading I: PPS DETECTED
14:53:42:515402 Gateway 0, reading I: PPS DETECTED
14:53:43:522676 Gateway 0, reading I: PPS DETECTED
14:53:44:529176 Gateway 0, reading I: PPS DETECTED
14:53:45:534403 Gateway 0, reading I: PPS DETECTED
14:53:46:540358 Gateway 0, reading I: PPS DETECTED
14:53:47:547803 Gateway 0, reading I: PPS DETECTED
14:53:48:451948 Gateway 0, reading I: PPS DETECTED
14:53:49:457763 Gateway 0, reading I: PPS DETECTED
14:53:50:286846 Gateway 0, sending b'NIBWS0129400000000000000000000000000'
14:53:50:463880 Gateway 0, reading I: PPS DETECTED
14:53:50:463880 Gateway 0, reading I: Write NIB - PPS
14:53:51:471090 Gateway 0, reading I: PPS DETECTED
14:53:52:477135 Gateway 0, reading I: PPS DETECTED
14:53:53:484802 Gateway 0, reading I: PPS DETECTED
14:53:54:490673 Gateway 0, reading I: PPS DETECTED
14:53:55:496119 Gateway 0, reading I: PPS DETECTED
14:53:56:501018 Gateway 0, reading I: PPS DETECTED
14:53:57:507002 Gateway 0, reading I: PPS DETECTED
14:53:58:512841 Gateway 0, reading I: PPS DETECTED
14:53:59:519542 Gateway 0, reading I: PPS DETECTED
14:54:00:527243 Gateway 0, reading I: PPS DETECTED
14:54:01:534110 Gateway 0, reading I: PPS DETECTED
14:54:02:538723 Gateway 0, reading I: PPS DETECTED
14:54:03:543958 Gateway 0, reading I: PPS DETECTED
14:54:04:450984 Gateway 0, reading I: PPS DETECTED
14:54:05:457282 Gateway 0, reading I: PPS DETECTED
14:54:06:462706 Gateway 0, reading I: PPS DETECTED
14:54:07:469439 Gateway 0, reading I: PPS DETECTED
14:54:08:476137 Gateway 0, reading I: PPS DETECTED
14:54:09:482406 Gateway 0, reading I: PPS DETECTED
14:54:10:489918 Gateway 0, reading I: PPS DETECTED
14:54:11:495794 Gateway 0, reading I: PPS DETECTED
14:54:11:605071 Gateway 0, sending b'NIBWS0129400000000000000000000000000'
14:54:12:502499 Gateway 0, reading I: PPS DETECTED
14:54:12:503439 Gateway 0, reading I: Write NIB - PPS
14:54:13:507228 Gateway 0, reading I: PPS DETECTED
14:54:14:514795 Gateway 0, reading I: PPS DETECTED
14:54:15:519516 Gateway 0, reading I: PPS DETECTED
14:54:16:525912 Gateway 0, reading I: PPS DETECTED
14:54:17:530851 Gateway 0, reading I: PPS DETECTED
14:54:18:538022 Gateway 0, reading I: PPS DETECTED
14:54:19:545259 Gateway 0, reading I: PPS DETECTED
14:54:20:450406 Gateway 0, reading I: PPS DETECTED
14:54:21:456732 Gateway 0, reading I: PPS DETECTED
14:54:22:461332 Gateway 0, reading I: PPS DETECTED
14:54:23:465817 Gateway 0, reading I: PPS DETECTED
14:54:24:474821 Gateway 0, reading I: PPS DETECTED
14:54:25:483017 Gateway 0, reading I: PPS DETECTED
14:54:26:486485 Gateway 0, reading I: PPS DETECTED
14:54:27:085631 Gateway 0, sending b'NIBR\xe1\x15\x12\x976\x11'
14:54:27:190531 Gateway 0, reading I: READ FROM NIB
14:54:27:493568 Gateway 0, reading I: PPS DETECTED
14:54:27:587440 Gateway 0, sending b'NIBR\xcda\xd3R\x14\x02'
14:54:27:594519 Gateway 0, reading I: READ FROM NIB
14:54:27:796432 Gateway 0, reading I: [E1:15:12:97:36:11 (random)] Sensor NIB read:
14:54:27:797445 Gateway 0, reading 2d52455455524e444952323446494c31342d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
14:54:28:091157 Gateway 0, sending b'NIBR\xe1\xd7)\x7f\xa1L'
14:54:28:501377 Gateway 0, reading I: READ FROM NIB
14:54:28:502384 Gateway 0, reading I: PPS DETECTED
14:54:28:603250 Gateway 0, reading I: [CD:61:D3:52:14:02 (random)] Sensor NIB read:
14:54:28:604258 Gateway 0, reading 2d52455455524e444952333346494c31342d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
14:54:29:008846 Gateway 0, reading I: [E1:D7:29:7F:A1:4C (random)] Sensor NIB read:
14:54:29:013187 Gateway 0, reading 52455455524e444952323646494c31342d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
14:54:29:518387 Gateway 0, reading I: PPS DETECTED
14:54:30:524422 Gateway 0, reading I: PPS DETECTED
14:54:31:530186 Gateway 0, reading I: PPS DETECTED
14:54:32:535842 Gateway 0, reading I: PPS DETECTED
14:54:33:543462 Gateway 0, reading I: PPS DETECTED
14:54:34:448569 Gateway 0, reading I: PPS DETECTED
14:54:35:455904 Gateway 0, reading I: PPS DETECTED
14:54:36:461564 Gateway 0, reading I: PPS DETECTED
14:54:37:466537 Gateway 0, reading I: PPS DETECTED
14:54:38:472958 Gateway 0, reading I: PPS DETECTED
14:54:39:479060 Gateway 0, reading I: PPS DETECTED
14:54:40:486180 Gateway 0, reading I: PPS DETECTED
14:54:41:493222 Gateway 0, reading I: PPS DETECTED
14:54:42:500154 Gateway 0, reading I: PPS DETECTED
14:54:43:506174 Gateway 0, reading I: PPS DETECTED
14:54:43:676415 Gateway 0, sending b'NIBWS0129400000000000000000000000000'
14:54:44:512146 Gateway 0, reading I: PPS DETECTED
14:54:44:512146 Gateway 0, reading I: Write NIB - PPS
14:54:45:518378 Gateway 0, reading I: PPS DETECTED
14:54:46:525717 Gateway 0, reading I: PPS DETECTED
14:54:47:532706 Gateway 0, reading I: PPS DETECTED
14:54:48:538431 Gateway 0, reading I: PPS DETECTED
14:54:49:545532 Gateway 0, reading I: PPS DETECTED
14:54:50:451066 Gateway 0, reading I: PPS DETECTED
14:54:51:457291 Gateway 0, reading I: PPS DETECTED
14:54:52:463465 Gateway 0, reading I: PPS DETECTED
14:54:53:469907 Gateway 0, reading I: PPS DETECTED
14:54:54:476754 Gateway 0, reading I: PPS DETECTED
14:54:55:481781 Gateway 0, reading I: PPS DETECTED
14:54:56:486105 Gateway 0, reading I: PPS DETECTED
14:54:57:491970 Gateway 0, reading I: PPS DETECTED
14:54:58:158542 Gateway 0, sending b'NIBR\xe1\x15\x12\x976\x11'
14:54:58:198837 Gateway 0, reading I: READ FROM NIB
14:54:58:500882 Gateway 0, reading I: PPS DETECTED
14:54:58:661343 Gateway 0, sending b'NIBR\xcda\xd3R\x14\x02'
14:54:58:702264 Gateway 0, reading I: READ FROM NIB
14:54:59:003997 Gateway 0, reading I: [E1:15:12:97:36:11 (random)] Sensor NIB read:
14:54:59:004994 Gateway 0, reading 2d52455455524e444952323446494c31352d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
14:54:59:163158 Gateway 0, sending b'NIBR\xe1\xd7)\x7f\xa1L'
14:54:59:633515 Gateway 0, reading I: READ FROM NIB
14:54:59:633515 Gateway 0, reading I: PPS DETECTED
14:54:59:835056 Gateway 0, reading I: [CD:61:D3:52:14:02 (random)] Sensor NIB read:
14:54:59:836057 Gateway 0, reading 2d52455455524e444952333346494c31352d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
14:55:00:542291 Gateway 0, reading I: PPS DETECTED
14:55:00:844880 Gateway 0, reading I: [E1:D7:29:7F:A1:4C (random)] Sensor NIB read:
14:55:00:845873 Gateway 0, reading 52455455524e444952323646494c31352d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
14:55:01:449419 Gateway 0, reading I: PPS DETECTED
14:55:02:457303 Gateway 0, reading I: PPS DETECTED
14:55:03:464440 Gateway 0, reading I: PPS DETECTED
14:55:04:094495 Gateway 0, sending b'NIBWS0129400000000000000000000000000'
14:55:04:472586 Gateway 0, reading I: PPS DETECTED
14:55:04:472586 Gateway 0, reading I: Write NIB - PPS
14:55:05:480699 Gateway 0, reading I: PPS DETECTED
14:55:06:486945 Gateway 0, reading I: PPS DETECTED
14:55:07:492084 Gateway 0, reading I: PPS DETECTED
14:55:08:498278 Gateway 0, reading I: PPS DETECTED
14:55:09:504801 Gateway 0, reading I: PPS DETECTED
14:55:10:512034 Gateway 0, reading I: PPS DETECTED
14:55:11:517817 Gateway 0, reading I: PPS DETECTED
14:55:12:523522 Gateway 0, reading I: PPS DETECTED
14:55:13:528973 Gateway 0, reading I: PPS DETECTED
14:55:14:535496 Gateway 0, reading I: PPS DETECTED
14:55:15:541254 Gateway 0, reading I: PPS DETECTED
14:55:16:545232 Gateway 0, reading I: PPS DETECTED
14:55:17:451257 Gateway 0, reading I: PPS DETECTED
14:55:18:456652 Gateway 0, reading I: PPS DETECTED
14:55:19:463299 Gateway 0, reading I: PPS DETECTED
14:55:20:468742 Gateway 0, reading I: PPS DETECTED
14:55:20:789637 Gateway 0, sending b'NIBR\xe1\x15\x12\x976\x11'
14:55:20:871275 Gateway 0, reading I: READ FROM NIB
14:55:21:292066 Gateway 0, sending b'NIBR\xcda\xd3R\x14\x02'
14:55:21:374576 Gateway 0, reading I: READ FROM NIB
14:55:21:476189 Gateway 0, reading I: PPS DETECTED
14:55:21:778267 Gateway 0, reading I: [E1:15:12:97:36:11 (random)] Sensor NIB read:
14:55:21:779287 Gateway 0, reading 2d52455455524e444952323446494c31362d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
14:55:21:796309 Gateway 0, sending b'NIBR\xe1\xd7)\x7f\xa1L'
14:55:22:269023 Gateway 0, reading I: READ FROM NIB
14:55:22:270021 Gateway 0, reading I: [CD:61:D3:52:14:02 (random)] Sensor NIB read:
14:55:22:271016 Gateway 0, reading 2d52455455524e444952333346494c31362d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
14:55:22:473765 Gateway 0, reading I: PPS DETECTED
14:55:23:077463 Gateway 0, reading I: [E1:D7:29:7F:A1:4C (random)] Sensor NIB read:
14:55:23:078470 Gateway 0, reading 52455455524e444952323646494c31362d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
14:55:23:480760 Gateway 0, reading I: PPS DETECTED
14:55:24:211110 Gateway 0, sending b'NIBWS0129400000000000000000000000000'
14:55:24:487059 Gateway 0, reading I: PPS DETECTED
14:55:24:487059 Gateway 0, reading I: Write NIB - PPS
14:55:25:493934 Gateway 0, reading I: PPS DETECTED
14:55:26:500498 Gateway 0, reading I: PPS DETECTED
14:55:27:505681 Gateway 0, reading I: PPS DETECTED
14:55:28:511092 Gateway 0, reading I: PPS DETECTED
14:55:29:517065 Gateway 0, reading I: PPS DETECTED
14:55:30:522884 Gateway 0, reading I: PPS DETECTED
14:55:31:529399 Gateway 0, reading I: PPS DETECTED
14:55:32:535757 Gateway 0, reading I: PPS DETECTED
14:55:33:544568 Gateway 0, reading I: PPS DETECTED
14:55:34:451241 Gateway 0, reading I: PPS DETECTED
14:55:35:456993 Gateway 0, reading I: PPS DETECTED
14:55:36:462260 Gateway 0, reading I: PPS DETECTED
14:55:37:466755 Gateway 0, reading I: PPS DETECTED
14:55:38:473816 Gateway 0, reading I: PPS DETECTED
14:55:39:482115 Gateway 0, reading I: PPS DETECTED
14:55:40:488963 Gateway 0, reading I: PPS DETECTED
14:55:41:495657 Gateway 0, reading I: PPS DETECTED
14:55:42:501198 Gateway 0, reading I: PPS DETECTED
14:55:43:508560 Gateway 0, reading I: PPS DETECTED
14:55:43:824393 Gateway 0, sending b'NIBWS0129400000000000000000000000000'
14:55:44:515868 Gateway 0, reading I: PPS DETECTED
14:55:44:515868 Gateway 0, reading I: Write NIB - PPS
14:55:45:524695 Gateway 0, reading I: PPS DETECTED
14:55:46:531352 Gateway 0, reading I: PPS DETECTED
14:55:47:537669 Gateway 0, reading I: PPS DETECTED
14:55:48:544983 Gateway 0, reading I: PPS DETECTED
14:55:49:451606 Gateway 0, reading I: PPS DETECTED
14:55:50:456694 Gateway 0, reading I: PPS DETECTED
14:55:51:462920 Gateway 0, reading I: PPS DETECTED
14:55:52:469915 Gateway 0, reading I: PPS DETECTED
14:55:53:475622 Gateway 0, reading I: PPS DETECTED
14:55:54:481307 Gateway 0, reading I: PPS DETECTED
14:55:55:485690 Gateway 0, reading I: PPS DETECTED
14:55:56:492521 Gateway 0, reading I: PPS DETECTED
14:55:57:497311 Gateway 0, reading I: PPS DETECTED
14:55:58:504462 Gateway 0, reading I: PPS DETECTED
14:55:59:510495 Gateway 0, reading I: PPS DETECTED
14:56:00:517811 Gateway 0, reading I: PPS DETECTED
14:56:01:524322 Gateway 0, reading I: PPS DETECTED
14:56:02:530154 Gateway 0, reading I: PPS DETECTED
14:56:03:234125 Gateway 0, sending b'NIBR\xe1\x15\x12\x976\x11'
14:56:03:334249 Gateway 0, reading I: READ FROM NIB
14:56:03:535463 Gateway 0, reading I: PPS DETECTED
14:56:03:736288 Gateway 0, sending b'NIBR\xcda\xd3R\x14\x02'
14:56:03:837456 Gateway 0, reading I: READ FROM NIB
14:56:04:238667 Gateway 0, sending b'NIBR\xe1\xd7)\x7f\xa1L'
14:56:04:338934 Gateway 0, reading I: READ FROM NIB
14:56:04:339451 Gateway 0, reading I: [E1:15:12:97:36:11 (random)] Sensor NIB read:
14:56:04:340522 Gateway 0, reading 2d52455455524e444952323446494c31382d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
14:56:04:652666 Gateway 0, reading I: PPS DETECTED
14:56:04:653661 Gateway 0, reading I: [CD:61:D3:52:14:02 (random)] Sensor NIB read:
14:56:04:654662 Gateway 0, reading 2d52455455524e444952333346494c31382d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
14:56:05:059149 Gateway 0, reading I: [E1:D7:29:7F:A1:4C (random)] Sensor NIB read:
14:56:05:060142 Gateway 0, reading 52455455524e444952323646494c31382d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
14:56:05:464230 Gateway 0, reading I: PPS DETECTED
14:56:06:471578 Gateway 0, reading I: PPS DETECTED
14:56:07:477431 Gateway 0, reading I: PPS DETECTED
14:56:08:482767 Gateway 0, reading I: PPS DETECTED
14:56:09:489502 Gateway 0, reading I: PPS DETECTED
14:56:10:495096 Gateway 0, reading I: PPS DETECTED
